omega_max_mhz,edge_ns,shortest_passing_time_ns,first_passing_fidelity,best_time_ns,best_fidelity,scanned_times_ns
5.0,0.0,,,260.0,0.9985469405719398,"[240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0]"
5.0,10.0,,,260.0,0.9985736660082043,"[240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0]"
5.0,20.0,,,280.0,0.9985640216536767,"[240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0]"
5.0,40.0,,,300.0,0.9985675292298678,"[240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0]"
5.0,80.0,,,340.0,0.9985513372144523,"[240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0]"
10.0,0.0,120.0,0.9991490915852986,135.0,0.9992653601877038,"[120.0, 135.0, 150.0, 160.0, 170.0, 180.0, 190.0, 210.0, 240.0]"
10.0,10.0,135.0,0.999291592713434,135.0,0.999291592713434,"[120.0, 135.0, 150.0, 160.0, 170.0, 180.0, 190.0, 210.0, 240.0]"
10.0,20.0,150.0,0.9992652225192606,160.0,0.9992669805654695,"[120.0, 135.0, 150.0, 160.0, 170.0, 180.0, 190.0, 210.0, 240.0]"
10.0,40.0,170.0,0.999281023258276,170.0,0.999281023258276,"[120.0, 135.0, 150.0, 160.0, 170.0, 180.0, 190.0, 210.0, 240.0]"
10.0,80.0,240.0,0.9992157910676405,240.0,0.9992157910676405,"[180.0, 190.0, 210.0, 240.0]"
20.0,0.0,60.0,0.9990928496673348,75.0,0.999618118851654,"[60.0, 75.0, 90.0, 105.0, 120.0, 135.0, 150.0, 160.0, 170.0, 180.0, 190.0]"
20.0,10.0,75.0,0.9996501620491561,75.0,0.9996501620491561,"[60.0, 75.0, 90.0, 105.0, 120.0, 135.0, 150.0, 160.0, 170.0, 180.0, 190.0]"
20.0,20.0,90.0,0.9996169141112088,90.0,0.9996169141112088,"[60.0, 75.0, 90.0, 105.0, 120.0, 135.0, 150.0, 160.0, 170.0, 180.0, 190.0]"
20.0,40.0,120.0,0.9996153997998697,120.0,0.9996153997998697,"[105.0, 120.0, 135.0, 150.0, 160.0, 170.0, 180.0, 190.0]"
20.0,80.0,180.0,0.999467600884736,180.0,0.999467600884736,"[180.0, 190.0]"
