omega_max_mhz,edge_ns,total_time_ns,selection_kind,direct_fidelity,fidelity,active_population,loss_proxy,passed,success,num_iter,wall_time_s,basis_num_modes,basis_num_parameters
5.0,0.0,260.0,best below threshold,0.9985469405719398,0.9985451342082446,0.9985453563882078,0.0014546436117921502,False,True,93,2.7971491479997894,6,13
5.0,10.0,260.0,best below threshold,0.9985736660082043,0.9985733868803225,0.9985735879321902,0.0014264120678098013,False,True,31,1.9654116140000042,6,13
5.0,20.0,280.0,best below threshold,0.9985640216536767,0.9985683333513526,0.9985685436864887,0.0014314563135112701,False,True,50,2.970848258999922,6,13
5.0,40.0,300.0,best below threshold,0.9985675292298678,0.9985728090577788,0.9985730151789585,0.0014269848210415326,False,True,74,2.4493527700001323,6,13
5.0,80.0,340.0,best below threshold,0.9985513372144523,0.9985507856606529,0.9985509637568938,0.0014490362431062165,False,True,132,3.980335056000058,6,13
10.0,0.0,120.0,first above threshold,0.9991490915852986,0.9988644063314376,0.9988814579414407,0.0011185420585593242,False,True,20,1.0871419229997628,6,13
10.0,10.0,135.0,first above threshold,0.999291592713434,0.9992917686311253,0.9992918187916491,0.000708181208350922,True,True,22,1.6580616539999937,6,13
10.0,20.0,150.0,first above threshold,0.9992652225192606,0.9992682189000281,0.9992682687974044,0.0007317312025956202,True,True,66,2.9625613180000983,6,13
10.0,40.0,170.0,first above threshold,0.999281023258276,0.9992841124751011,0.9992841585913035,0.0007158414086965159,True,True,33,2.9929727819999243,6,13
10.0,80.0,240.0,first above threshold,0.9992157910676405,0.9992799585237686,0.9992800046944841,0.0007199953055159192,True,False,420,14.09620203500026,6,13
20.0,0.0,60.0,first above threshold,0.9990928496673348,0.9988693435538931,0.9989224394950728,0.001077560504927244,False,True,18,0.9303670040003453,6,13
20.0,10.0,75.0,first above threshold,0.9996501620491561,0.9996511438009955,0.999651157645313,0.00034884235468701785,True,True,149,3.5052151929999127,6,13
20.0,20.0,90.0,first above threshold,0.9996169141112088,0.9996222332345783,0.999622246113469,0.00037775388653105146,True,True,80,4.267556615999638,6,13
20.0,40.0,120.0,first above threshold,0.9996153997998697,0.9996332620412134,0.9996332784023494,0.00036672159765060997,True,True,180,6.327128743999765,6,13
20.0,80.0,180.0,first above threshold,0.999467600884736,0.999607562045518,0.9996075753602764,0.00039242463972355424,True,True,225,10.260179816000345,6,13
