FigS3b_TrueGateError,FigS3b_ExtractedGateError,FigS3b_ExtractedGateError_err
0.0282341556508664,0.02728044401884211,0.0005366995606125756
0.005568768265961532,0.005503529565322407,0.00011297310694868926
0.03244629984860392,0.03474713484071712,0.0008223067102003862
0.02832298464305827,0.03152510104471129,0.0012946321108772132
0.02645359177165607,0.026294920472801464,0.0008180848313878167
0.04839194172689343,0.038807940988351164,0.0023011389795021004
0.018115933368041626,0.017575977574627588,0.0008871236277418446
0.03975668690946477,0.049469521161921715,0.0018975191933708036
0.03470309436709296,0.04191730734854815,0.0012998130443329977
0.026660570630225977,0.0287060182447596,0.0007187938404123883
0.05884794159181017,0.07941519777381223,0.005244607984505034
0.034121081748126336,0.04025768687188713,0.002288759693125035
0.018443593964065585,0.016880706240080867,0.0007960139522546187
0.022676667421179908,0.025979705117516017,0.0012166304151752629
0.03083742797164324,0.03353848174637497,0.0006765696170383905
0.04272117593315894,0.04026049349740024,0.0008210859918365582
0.04627689637657473,0.045979017009865286,0.000857666083615448
0.047455755760130836,0.0676180967487866,0.005683711033721449
0.013494370728357907,0.013673837224221441,0.0003045344461792267
0.024764436836110404,0.022702661221954523,0.0007429035762448643
0.04961070620604424,0.06689406364384598,0.005394652858430703
0.033843547017282205,0.037689944669236586,0.001585612541593392
0.034780336193301786,0.031361291666325064,0.0015626507833552236
0.029815808003083588,0.037068040617198705,0.0014088301874092622
0.020897340274413145,0.020800184264371135,0.0003964284818635221
0.023563983338727335,0.023133902123611882,0.00043122377771443154
0.024031451035437024,0.02291831251339016,0.0011316559437814452
0.024681055374687788,0.023187606274193584,0.0004662689324402406
0.024117237022807325,0.02321241426099052,0.0007167763948718085
0.0372512160560492,0.04745626145731152,0.0032920518264699774
0.019570571849329532,0.02246587594230598,0.0007181713174061907
0.02271703188819907,0.020634673169198314,0.0009677955074494474
0.021714118622798373,0.01934103954308186,0.0009231168423639468
0.03281795473900018,0.03228089324193284,0.0006768197419649292
0.02154842051005912,0.02055657627924745,0.0004818818784230121
0.04385031708695575,0.04829653830980252,0.0016827186666045488
0.022683179690343613,0.025104165508384346,0.0009857727207667278
0.017688817251449107,0.016575050861623475,0.000581853055696809
0.03316716388970098,0.04211969394582182,0.0022033160839052524
0.03275385990863455,0.03319640410325775,0.0006636260943624493
0.04013929202146005,0.03704857430462383,0.0014056398540709942
0.040191328260888115,0.03700427502326009,0.0007786435671424629
0.029924301332529324,0.032128053491936814,0.0009095339370695652
0.019986549409558685,0.022649242663037583,0.0006298919493647623
0.03280579661824612,0.038053217765206315,0.0009703672604378646
0.020621475245237386,0.022552137347078505,0.000866310266655881
0.03368977143780827,0.03308854679373874,0.0006326789382251717
0.046651139001891884,0.058242898517618547,0.002109950987086467
0.006230064337862773,0.006106308733689114,0.00012119535046753883
0.02505466302420367,0.028523343977479798,0.0014644302001498846
0.009181013602734822,0.009188513130830689,0.0001755903318582365
0.02142645974992763,0.02010350287279028,0.0004314743767268102
0.009363461094184289,0.008797787938191526,0.00022417495142430184
0.012336429276879612,0.011753444366704668,0.0003697332337396437
0.017431918180148998,0.016707129475704408,0.000866466986292081
0.014042665673592247,0.01408694737549776,0.0002877723792417958
0.014760767242335104,0.015446521434481775,0.00028508905235500936
0.029870915346171367,0.03376591030586895,0.0014143801003055501
0.04518163750933302,0.05377371793826469,0.0031218358364268266
0.013021758158424768,0.013245407810654974,0.00027270150187465726
0.02456845973905397,0.028215519959417623,0.0006575936942941663
0.011183723840780702,0.010829519454831127,0.00021701410229613968
0.04369363026022044,0.03806683114990972,0.0027524217079540063
0.03614755649775103,0.031964203245703815,0.0011300880751796204
0.013390908321560091,0.013180853590509023,0.0002834440751343074
0.01579549303354677,0.01739750551895336,0.0005217000527859574
0.07300742552637485,0.07076660443145366,0.002149300099684672
0.04408559503202558,0.040148148716502186,0.0008554696776157128
0.029116396234582176,0.03403548258165834,0.0011826891927583742
0.019139496137843492,0.01881758850824744,0.0007808961877223924
0.03219227623571419,0.030939392267203436,0.0006422234274928133
0.017689496510968183,0.01695120379262005,0.0003370223516621357
0.04824734245029316,0.05558306299690341,0.0016113806978072507
0.01728115338372882,0.017239867347581983,0.0003313688165350209
0.029704917429772992,0.035118006985706995,0.002006005212846865
0.020776950311943154,0.02143800107919147,0.000532050140867695
0.02855098906986575,0.03165480501752549,0.0011551242051065383
0.024275094080067894,0.026974459223811587,0.0007676866771450608
0.021331078243778556,0.022671099474442014,0.000470119929430603
0.01550540811306167,0.014974306735316079,0.0003055625137438358
0.02736204122882635,0.027127628468465725,0.0016191149529042224
0.020830372178821444,0.02069107068677767,0.0006747809887017655
0.0405390514664582,0.03852150483898331,0.0007680234103532796
0.018406430767599402,0.017478769694278085,0.0007643820112609361
0.026954020574830984,0.024439314219384833,0.0015672341743833793
0.03481471437930883,0.033587955862747654,0.0007196891078347724
0.026009549882052396,0.023454558380314294,0.0011437449243242757
0.03808955794744828,0.03641559294586749,0.002543838044583592
0.009764218699314098,0.009828882009974671,0.00018438927910023525
0.036587266886477954,0.038667867711827175,0.001558962860023421
0.009522928871380287,0.009396591627673812,0.00018404832481436488
0.07639275516852384,0.06794716557822456,0.004405390315898301
0.009105991139236047,0.008920575690137156,0.00017334010653062763
0.009619329368659946,0.0093966400808837,0.0002107032810112568
0.017108709622846496,0.01617790849447065,0.0003885251219851427
0.02865764087985634,0.027171968038129157,0.0005946051057848673
0.03529394447802403,0.03423144860433669,0.0005332802344477311
0.03933499199214763,0.04672601719384095,0.00269976333895483
0.027726334382109363,0.02666180718167721,0.0005472301773311749
0.014912448745320162,0.015176742320053171,0.00028006481200956376
0.018767488389324627,0.017416682786335014,0.0008442782013513281
0.013340986950070688,0.01344001605946088,0.00030437220499322283
0.016055669014444662,0.016777413441505518,0.0005459026000673812
0.03513051074130402,0.03443627279107597,0.0007064588449973049
0.01835868000153107,0.01855531695766688,0.00038850842347333656
0.017493335610879734,0.016663727971538478,0.0008763918480434712
0.05145883133471452,0.06994109823185957,0.004804081737652082
0.02564973191053288,0.024440072168638083,0.0004670863065871235
0.012985593285842478,0.012352574436030661,0.00032918602183341526
0.03546533593150725,0.0308956267040692,0.0019496912679834652
0.026712963972988057,0.025797527376941853,0.0006082303219432139
0.014246008406191835,0.013802966187026477,0.00032083752929491435
0.044566966898996085,0.060689923699346116,0.0050418585693519915
0.04789721574222017,0.05758224179988691,0.0034268037789273605
0.012623021886129515,0.012328562988166758,0.00028311021993467496
0.04321211684158244,0.056931731625100235,0.003982206066269213
0.02518500131621637,0.024809379753676142,0.0005116704699749657
0.043789878308357344,0.04451056686555621,0.0008215627567717726
0.012692985761700193,0.012633386428882565,0.00024379804632559165
0.04773520960284949,0.045124775139159135,0.0008918801694841622
0.022131637664139392,0.024995125095091053,0.0010993567610470718
0.03536558081896357,0.03473831183984599,0.0012672751261119054
0.04198760748762864,0.03839031554635697,0.0007687366601905957
0.030382149289305382,0.031121704120295912,0.000796044396102841
0.0221429774762939,0.020462040368383616,0.0006529061697981678
0.015819541190381536,0.0155546018423951,0.00032303529727022206
0.021969968117413252,0.02482183465332699,0.0005568414333666328
0.05602800890478399,0.04634032509001218,0.003592791450080367
0.005277635100202183,0.005166231908412144,0.0001218649231840517
0.06299005815897263,0.049283796383164824,0.004041450770150893
0.010815821623259558,0.01078594731784377,0.0002402589971057095
0.03241173375508788,0.03863067890544092,0.0013553684797366495
0.011187501854749038,0.010705443537107895,0.00025657248958226264
0.010258574872401338,0.010133869886852165,0.0001945340914632649
0.018138501759378256,0.01996700202704993,0.0004009105840247616
0.02512013940590252,0.022947263474516144,0.0008870581090738227
0.01803008161209063,0.01975218944656254,0.00038583027883569004
0.022543059247170816,0.021882923801453513,0.0005077258700225461
0.02391575928348877,0.027323274475042347,0.0013962100504133098
0.025577411840806974,0.028064639967890437,0.0008431084566422482
0.030114470295902196,0.029452735484700954,0.0005672088697426952
0.032738254839076886,0.029755231890999823,0.0006178547778438633
0.034861553008802004,0.044712710789524435,0.0025936785767825678
0.01524571465619573,0.015361604469770529,0.00034934148690981794
0.023380976669493236,0.023519598277135456,0.0004980220922285118
0.024255469311356137,0.02250262032684258,0.0007893413596254986
0.041960261921319075,0.055528845622917045,0.003533121723856546
0.019036079672159367,0.019368491267549692,0.00041331040277497376
0.0228015578713332,0.023654816431059267,0.0005439472688242972
0.011711375063228169,0.011441645282024737,0.0002485930249774662
0.024820399910089996,0.02736074331835958,0.0010793459821135446
0.042259575711874775,0.03897942835191903,0.0007966749018947515
0.016620871330423448,0.015838216151536466,0.0003797915869911102
0.018264210926297486,0.017903244237989946,0.00035614048672263183
0.013707079450092197,0.013140415631183955,0.00027324425737320035
0.011801975642389828,0.011677651573132941,0.00022840280215022425
0.009382245575380699,0.00910501111586337,0.00018632551420927782
0.026833994075252887,0.023775159279104563,0.0012868484362370482
0.009477227373547725,0.009507132149098929,0.00020868455263828523
0.014203499364648264,0.014441302976647474,0.0003290137727295079
0.014990712668579875,0.014048963986150409,0.0005100073351535049
0.021192644644012715,0.019280484505570628,0.0008286519664514997
0.049824885016249376,0.04096597310862704,0.0024596728981166128
0.012797278893319608,0.012514407481209688,0.0002501883390821737
0.014592440248134886,0.01406747830758548,0.0003621659733556175
0.03139447547054286,0.030392792135603752,0.0006268295285162406
0.0447222346673225,0.05540737770349646,0.003851272184452549
0.022665770280654973,0.021244878749452245,0.0004295238016779815
0.0194978269031012,0.01944580559649478,0.0004661226012827566
0.02700466705189941,0.025836304571377866,0.0005379162833218555
0.02978747204705212,0.028730676113458142,0.0005735257968962996
0.03580713091291421,0.03903795606245586,0.0013232882844779303
0.050830242462258424,0.05963108036505782,0.0030766911945569572
0.029839966252288463,0.029576363095362712,0.0006386013361410351
0.05123957280772018,0.058870167509731064,0.0014145758691675192
0.009733097638888966,0.009504441973976818,0.00020491024485874815
0.016812027092979798,0.01667387532968756,0.0004423515922859419
0.009109463198572643,0.008659331884144694,0.000174451811457716
0.013116059907519073,0.01307304534435394,0.00025632026883292254
0.03647052412872631,0.0427316545766665,0.0013087964040430053
0.030806706998572353,0.03693185455635817,0.001459637636555612
0.02152404412093689,0.023385197958074477,0.0007010008755603671
0.016650656168300193,0.01615606522232238,0.0003651371526680379
0.0547272167925581,0.06530289589214355,0.003552035221182476
0.05035232278458468,0.056925838786790584,0.0023982716441521444
0.03220892850807,0.03573954745167818,0.0013773715594331002
0.0339575637941365,0.03425792258628446,0.000634047966657287
0.02044366310188228,0.02037565487348958,0.0003973938857975636
0.044369087867387025,0.05300386346570174,0.0031293237082131407
0.02847464457961557,0.027146974644200905,0.0005417613787214778
0.03403076012181838,0.03251715408214906,0.0006829598851883298
0.03127635671302864,0.03463128335936161,0.001470326126854927
0.01106459696801243,0.011144187151271967,0.00021084801006449687
0.02752215751932585,0.024900490802280406,0.0014875339222785136
0.01198536062162392,0.011380184521645131,0.0002906376041647065
0.013484640328977449,0.012555795485524102,0.0004445485893450235
0.02256689893194186,0.021127068343191335,0.0005184225941743941
0.04181911458048426,0.04920038955882111,0.0013772724566168061
0.024046462440549754,0.026617089400409077,0.0011292562148655914
0.019399046924876595,0.019190974198244226,0.0004499918539188207
0.011076103122805159,0.010953702236662477,0.0002300307532229047
0.05980707329787127,0.07947351016657067,0.004099664268119891
0.007426352023339966,0.007096989889950334,0.00014738242584331498
0.013229355835342127,0.01291119157005749,0.0002716618226736209
0.019332679725188484,0.019992566444403392,0.0006448798385701488
0.017065106415809717,0.01675764172332439,0.0003241294880600686
0.015349928455314688,0.015159240034267052,0.0002980344410382072
0.014320383689282012,0.013935167007422589,0.0003184656896942122
0.0445663106445664,0.0609082651659959,0.005110608830485467
0.016133778032259682,0.017116961754995663,0.00039156613675870856
0.023342890887030343,0.023361231870062005,0.000457688960709989
0.03030996872322189,0.0361681621453529,0.001458408096700261
0.012748396445399601,0.012349182467703668,0.00030618886058965676
0.029903926296394046,0.03439998987866444,0.0010220062516535027
0.024248328345611192,0.02954129259584326,0.001456240105177692
0.014472917469219637,0.01545973405959189,0.00028977026631838717
0.026008509451353135,0.028128929637114775,0.0005221685951808682
0.043327750552222155,0.03749737080934379,0.0028383576469527315
